S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/2,17.80,Ch.N. Agraharam-(0333010),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
2,1/1,4.50,Ch.N. Agraharam-(0333010),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
3,4,0.84,Ch.N. Agraharam-(0333010),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
4,5,1.56,Ch.N. Agraharam-(0333010),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
5,9,9.64,Ch.N. Agraharam-(0333010),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
6,10,5.72,Ch.N. Agraharam-(0333010),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
7,11,5.88,Ch.N. Agraharam-(0333010),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
8,13,2.88,Ch.N. Agraharam-(0333010),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
9,15,2.84,Ch.N. Agraharam-(0333010),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
10,16/16D,-,Ch.N. Agraharam-(0333010),OS 261/20 IA 497/20,08-12-2020,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
11,20,7.16,Ch.N. Agraharam-(0333010),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
12,21/1,15.35,Ch.N. Agraharam-(0333010),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
13,21/2,2.34,Ch.N. Agraharam-(0333010),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,ANAKAPALLI,Ch.N. Agraharam,2026-02-24 01:21:22
