S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/5A,-,Koppaka-(0333033),MEMO NO.G1/4225/2013,26-10-2016,RC NO.3795/2008/E1 DT 17-6-2015,GOVERNMENT LAND,ANAKAPALLI,ANAKAPALLI,Koppaka,2026-02-24 01:28:02
2,1/2A,-,Koppaka-(0333033),MEMO NO.G1/4225/2013,26-10-2016,RC NO.3795/2008/E1 DT 17-6-2015,GOVERNMENT LAND,ANAKAPALLI,ANAKAPALLI,Koppaka,2026-02-24 01:28:02
3,1/1,-,Koppaka-(0333033),MEMO NO.G1/4225/2013,26-10-2016,RC NO.3795/2008/E1 DT 17-6-2015,GOVERNMENT LAND,ANAKAPALLI,ANAKAPALLI,Koppaka,2026-02-24 01:28:02
4,3/2,-,Koppaka-(0333033),MEMO NO.G1/4225/2013,26-10-2016,RC NO.3795/2008/E1 DT 17-6-2015,GOVERNMENT LAND,ANAKAPALLI,ANAKAPALLI,Koppaka,2026-02-24 01:28:02
5,3/3,-,Koppaka-(0333033),MEMO NO.G1/4225/2013,26-10-2016,RC NO.3795/2008/E1 DT 17-6-2015,GOVERNMENT LAND,ANAKAPALLI,ANAKAPALLI,Koppaka,2026-02-24 01:28:02
6,6/6B,-,Koppaka-(0333033),MEMO NO.G1/4225/2013,26-10-2016,RC NO.3795/2008/E1 DT 17-6-2015,GOVERNMENT LAND,ANAKAPALLI,ANAKAPALLI,Koppaka,2026-02-24 01:28:02
7,6/2A,-,Koppaka-(0333033),MEMO NO.G1/4225/2013,26-10-2016,RC NO.3795/2008/E1 DT 17-6-2015,GOVERNMENT LAND,ANAKAPALLI,ANAKAPALLI,Koppaka,2026-02-24 01:28:02
8,6/5B,-,Koppaka-(0333033),MEMO NO.G1/4225/2013,26-10-2016,RC NO.3795/2008/E1 DT 17-6-2015,GOVERNMENT LAND,ANAKAPALLI,ANAKAPALLI,Koppaka,2026-02-24 01:28:02
9,6/1,-,Koppaka-(0333033),MEMO NO.G1/4225/2013,26-10-2016,RC NO.3795/2008/E1 DT 17-6-2015,GOVERNMENT LAND,ANAKAPALLI,ANAKAPALLI,Koppaka,2026-02-24 01:28:02
10,7/1B,-,Koppaka-(0333033),MEMO NO.G1/4225/2013,26-10-2016,RC NO.3795/2008/E1 DT 17-6-2015,GOVERNMENT LAND,ANAKAPALLI,ANAKAPALLI,Koppaka,2026-02-24 01:28:02
