S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/2,3,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
2,4/1,5.78,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
3,4/3,28,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
4,4/2,20,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
5,6/14B,2.69,Vooderu-(0333004),-,26-10-2021,RC.NO.17/37/2019/PLG,"DT&CP. AP., MANGALAGIRI",ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
6,6/17D,2.69,Vooderu-(0333004),-,26-10-2021,RC.NO.17/37/2019/PLG,"DT&CP. AP., MANGALAGIRI",ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
7,6/11,58,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
8,6/14A,2.69,Vooderu-(0333004),-,26-10-2021,RC.NO.17/37/2019/PLG,"DT&CP. AP., MANGALAGIRI",ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
9,6/17A,2.69,Vooderu-(0333004),-,26-10-2021,RC.NO.17/37/2019/PLG,"DT&CP. AP., MANGALAGIRI",ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
10,6/17E,2.69,Vooderu-(0333004),-,26-10-2021,RC.NO.17/37/2019/PLG,"DT&CP. AP., MANGALAGIRI",ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
11,6/15,36,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
12,8/3,3.41,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
13,8,10.07,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
14,9/1K,2,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
15,9/1L,44,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
16,9/1P,12,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
17,9/1Q,1.11,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
18,9/1E,1.38,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
19,9/1R,15,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
20,9/1,8.53,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
21,11/4,16,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
22,15,1.70,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
23,18,16.49,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
24,19,2.47,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
25,21/3,73,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
26,22/2,50,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
27,22/1P,2,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
28,22/1O,3,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
29,22/1G,8,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
30,22/1A,36,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
31,22/1,2.86,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
32,25,49,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
33,26/40,24,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
34,27,5.38,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
35,28,2.10,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
36,35,2.38,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
37,36,86,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
38,38,29,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
39,41/7,1,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
40,42/2,5.18,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
41,42/3,3,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
42,42,11.28,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
43,43,29.38,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
44,46/6,32,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
45,48,51,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
46,51/1,55,Vooderu-(0333004),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,ANAKAPALLI,Vooderu,2026-02-24 01:48:43
