S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,70,4.88,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
2,71,6.14,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
3,72,6.12,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
4,73,7.64,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
5,74,9.89,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
6,75,19.81,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
7,76,4.81,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
8,77,6.69,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
9,78,7.55,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
10,79,9.71,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
11,80,10.17,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
12,81,8.72,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
13,82,10.93,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
14,83,8.60,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
15,84,5.51,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
16,85,6.22,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
17,86,7.76,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
18,87,27.40,Chippada-(0343032),R NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APSEZ LAND,ANAKAPALLI,ATCHUTAPURAM,Chippada,2026-02-24 01:51:19
