S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,8.45,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
2,2,3.15,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
3,3,3.26,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
4,4,15.83,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
5,5,3.25,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
6,6,9.07,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
7,7,1.33,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
8,8,5.35,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
9,9,0.31,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
10,10,3.67,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
11,11,0.54,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
12,12,0.74,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
13,13/2,2,Dibbapalem-(0343026),RC NO L3/9570/2016,28-07-2016,COMMISSIONER ENDOWMENT DEPT,"SRI VALLABHANARAYANESWARA SWAMY TEMPLE ,LALAMKODURU",ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
14,13,3.52,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
15,14,0.78,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
16,15,2.17,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
17,16,0.95,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
18,17,4.11,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
19,18,3.20,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
20,19,2.66,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
21,20,1.20,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
22,21,0.95,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
23,22,0.30,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
24,23,0.22,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
25,24,0.81,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
26,25,3.11,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
27,26,4.01,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
28,27,5.40,Dibbapalem-(0343026),RC.NO.3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,APIIC LAND,ANAKAPALLI,ATCHUTAPURAM,Dibbapalem,2026-02-24 01:52:50
