S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/2,3.20,Nadimpalli-(0343018),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,ATCHUTAPURAM,Nadimpalli,2026-02-24 02:04:42
2,1/2,3.20,Nadimpalli-(0343018),3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,ATCHUTAPURAM,Nadimpalli,2026-02-24 02:04:42
3,1,5,Nadimpalli-(0343018),3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,ATCHUTAPURAM,Nadimpalli,2026-02-24 02:04:42
4,1/1,5,Nadimpalli-(0343018),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,ATCHUTAPURAM,Nadimpalli,2026-02-24 02:04:42
5,1/7,5,Nadimpalli-(0343018),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,ATCHUTAPURAM,Nadimpalli,2026-02-24 02:04:42
6,3,5.16,Nadimpalli-(0343018),3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,ATCHUTAPURAM,Nadimpalli,2026-02-24 02:04:42
7,5,18.77,Nadimpalli-(0343018),3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,ATCHUTAPURAM,Nadimpalli,2026-02-24 02:04:42
8,5,18.77,Nadimpalli-(0343018),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,ATCHUTAPURAM,Nadimpalli,2026-02-24 02:04:42
9,7,19.64,Nadimpalli-(0343018),3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,ATCHUTAPURAM,Nadimpalli,2026-02-24 02:04:42
10,8/6,3.70,Nadimpalli-(0343018),3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,ATCHUTAPURAM,Nadimpalli,2026-02-24 02:04:42
11,8/5,3.20,Nadimpalli-(0343018),3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT LAND,ANAKAPALLI,ATCHUTAPURAM,Nadimpalli,2026-02-24 02:04:42
