S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,271.35,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLECTOR VSP,STATE GOVT,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
2,3/1N,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
3,3/1O,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
4,3/1P,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
5,3/1Q,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
6,3/1R,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
7,3/1S,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
8,3/1T,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
9,3/1U,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
10,3/1V,39,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
11,3/1W,40,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
12,3/1X,42,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
13,3/1Y,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
14,3/2D/2I,1,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
15,3/2D/2J,1.03,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
16,3/2D/2K,1.03,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
17,3/2D/2M,1.03,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
18,3/2D/2Q,1,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
19,3/2D/2N,1,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
20,3/2D/2O,1,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
21,3/2D/2P,1,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
22,3/3-2H/1,1.33,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
23,3/3-2H/2,1.34,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
24,3/3,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
25,3/4,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
26,3/5,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
27,3/6,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
28,3/7,50,Veduruvada-(0343025),RC NO 3795/2007/E1,25-08-2018,DIST COLLEECTOR VSP,APIIC,ANAKAPALLI,ATCHUTAPURAM,Veduruvada,2026-02-24 02:13:20
