S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,87,1.39,Aithampudi-(0320019),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Aithampudi,2026-02-24 02:14:45
2,89,27,Aithampudi-(0320019),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Aithampudi,2026-02-24 02:14:45
3,90,20,Aithampudi-(0320019),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Aithampudi,2026-02-24 02:14:45
4,100/1,1.23,Aithampudi-(0320019),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Aithampudi,2026-02-24 02:14:45
5,100/3,24,Aithampudi-(0320019),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Aithampudi,2026-02-24 02:14:45
6,101/2,1.02,Aithampudi-(0320019),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Aithampudi,2026-02-24 02:14:45
7,103/1,1.38,Aithampudi-(0320019),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Aithampudi,2026-02-24 02:14:45
8,105/26,1.29,Aithampudi-(0320019),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Aithampudi,2026-02-24 02:14:45
9,108/1,36,Aithampudi-(0320019),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Aithampudi,2026-02-24 02:14:45
10,109,35,Aithampudi-(0320019),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Aithampudi,2026-02-24 02:14:45
