S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,4,3.64,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
2,5,79,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
3,6,7,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
4,8,74,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
5,11,87,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
6,12,71,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
7,13/1,64,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
8,13/1,60,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
9,13/1,60,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
10,15,6,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
11,15,56,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
12,16,6,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
13,18/2,29,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
14,20,38,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
15,22/6,13,Gantikorlam-(0320014),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Gantikorlam,2026-02-24 02:21:29
