S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/1P,1.01,Kandipudi-(0320022),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Kandipudi,2026-02-24 02:24:28
2,3,92,Kandipudi-(0320022),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Kandipudi,2026-02-24 02:24:28
3,6,69,Kandipudi-(0320022),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Kandipudi,2026-02-24 02:24:28
4,7,1.82,Kandipudi-(0320022),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Kandipudi,2026-02-24 02:24:28
5,8/1,1.42,Kandipudi-(0320022),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Kandipudi,2026-02-24 02:24:28
6,10/1,33,Kandipudi-(0320022),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Kandipudi,2026-02-24 02:24:28
7,10/1,33,Kandipudi-(0320022),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Kandipudi,2026-02-24 02:24:28
8,10/7,1.11,Kandipudi-(0320022),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Kandipudi,2026-02-24 02:24:28
9,12,16.29,Kandipudi-(0320022),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Kandipudi,2026-02-24 02:24:28
10,14,1.36,Kandipudi-(0320022),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Kandipudi,2026-02-24 02:24:28
