S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,31.64,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
2,5/1,40,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
3,7/2,1.38,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
4,8/2,1.40,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
5,8/3,76,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
6,11/3,1.93,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
7,11/4,1.92,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
8,11/3,1.93,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
9,11/2,4.11,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
10,11/1,4.51,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
11,11/4,1.92,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
12,13/X,55,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
13,13,92,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
14,13/X,55,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
15,14,61,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
16,15,2.16,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
17,17/1,1.76,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
18,18,3.17,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
19,19/3,1.73,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
20,19/3,3.59,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
21,20/1,1.07,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
22,22/2,1.13,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
23,24/2,9,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
24,25,1.46,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
25,31/2,15,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
26,31/1,61,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
27,32,1.23,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
28,33,2.86,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
29,37/2,36,LOPUDI-(0320002),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,LOPUDI,2026-02-24 02:31:11
