S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/7,29,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
2,3/3,1.68,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
3,6,87,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
4,7/6,12,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
5,8/5,28,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
6,9/7,26,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
7,9/8,3.51,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
8,10/1,63,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
9,10/2,1.27,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
10,11/1,89,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
11,15,83,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
12,16,2.15,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
13,16,2.15,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
14,21/3,24,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
15,22/1,6,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
16,31/1,1.19,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
17,31/2,3.55,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
18,32/3,1.65,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
19,32/2,55,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
20,32/1,1.35,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
21,32/4,4.05,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
22,34,33,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
23,36/1,1.05,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
24,38/2,2,Luluru-(0320001),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Luluru,2026-02-24 02:31:45
