S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,30/7,95,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
2,31/2,81,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
3,33/9,2.72,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
4,124,455.52,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
5,124,455.52,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
6,125,57.64,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
7,126/5,2.34,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
8,126/6,2.30,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
9,126/5,2.34,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
10,126/6,2.30,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
11,126/1,6.33,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
12,126/2,55,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
13,126/3,9,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
14,127,10.90,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
15,128/3,46,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
16,128/4,50,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
17,128/5,2.11,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
18,128/2,90,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
19,128,60,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
20,128/5,2.11,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
21,128/4,50,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
22,128/3,46,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
23,128/2,3.90,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
24,128/2,90,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
25,128/3,46,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
26,128/4,50,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
27,128/5,2.11,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
28,129/2,21,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
29,129,2.51,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
30,130,1.58,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
31,131/1,2.65,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
32,131/3,1,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
33,131/1,70,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
34,131/4,1.95,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
35,131/1,70,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
36,132,1,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
37,133,79,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
38,134,1.15,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
39,135,32,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
40,136,4.80,Mallam-(0320040),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mallam,2026-02-24 02:33:12
