S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,0.56,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
2,3,2.45,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
3,5,2.84,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
4,5,2.84,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
5,6,4.08,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
6,14,1.23,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
7,19/40,0.66,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
8,21/13,0.47,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
9,21/3,0.38,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
10,24/6,0.83,Mangalapuram-(0320003),-,-,-,"SRI RADHA KANTHA SWAMY TEMPLE,MADUGULA",ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
11,27/3,0.80,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
12,30/47B,0.05,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
13,30/42B,0.02,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
14,32/22B,0.37,Mangalapuram-(0320003),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Mangalapuram,2026-02-24 02:34:30
