S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,258.96,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
2,2,17.69,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
3,2,19.69,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
4,3,60,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
5,4,11.09,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
6,4,11.09,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
7,5,38,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
8,6/4,4.90,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
9,6/4,4.90,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
10,6/3,4.95,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
11,6/3,4.95,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
12,11,3.51,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
13,11,3.10,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
14,13,3.75,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
15,18,4,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
16,18/2,62,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
17,20,1.10,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
18,34,2.52,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
19,35,1.78,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
20,39/3,42,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
21,42,46,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
22,43,63,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
23,47,1.44,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
24,49/3,1.50,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
25,50,96,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
26,52/8,3.58,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
27,53/2,2.80,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
28,54,28.15,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
29,55/1,1.30,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
30,58/1,1.06,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
31,60,5.91,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
32,61/5,39,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
33,61/1,1.98,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
34,61/7,38,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
35,61/6,39,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
36,61/5,39,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
37,61/7,38,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
38,61/6,39,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
39,65,65,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
40,68,1.68,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
41,69,64,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
42,79,28,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
43,80,34,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
44,83,80,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
45,84,80,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
46,85/11,6,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
47,85/12,3.75,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
48,95/2,1.25,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
49,96/11,27,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
50,100,48,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
51,101,58,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
52,102/9,21,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
53,102/10,7,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
54,102/13,15,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
55,103/1,65,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
56,104/2,5,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
57,104/1,81,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
58,108,90,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
59,109,75,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
60,110/6,1.59,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
61,113,20.59,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
62,119,1.57,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
63,121,1.47,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
64,122/3,1.01,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
65,122/5,1.74,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
66,122/3,1.81,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
67,123/2,2.13,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
68,127,72,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
69,128/4,50,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
70,129,1.18,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
71,134/1,1.56,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
72,135,1.18,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
73,136,82,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
74,141/2,9,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
75,142/2,80,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
76,143/6,10,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
77,144/2,60,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
78,144/18,1.10,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
79,148,76,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
80,151,64,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
81,154/5,10,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
82,154/6,2,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
83,154/7,1.48,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
84,158,11.48,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
85,161/1,4.04,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
86,163,3.78,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
87,164,55,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
88,165/4,17,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
89,165/1,8,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
90,165/2,21,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
91,165/3,14,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
92,166,80,P. Bheemavaram-(0320009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,P. Bheemavaram,2026-02-24 02:36:42
