S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/10,70,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
2,1/1,19,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
3,2,29,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
4,3/1,10,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
5,4,90,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
6,5/3,10,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
7,5/1,11,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
8,6,81,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
9,8,50,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
10,9,28,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
11,14,1.02,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
12,17,6.03,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
13,19/1,1.04,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
14,19/3,6,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
15,19/2,6,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
16,21,1.04,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
17,22,75,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
18,26,4,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
19,27,73,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
20,28,1.24,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
21,29/3,43,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
22,29/2,42,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
23,35,85,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
24,36,70,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
25,40,71,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
26,41,83,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
27,43/2A,1.19,Pedapudi-(0320036),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi,2026-02-24 02:38:56
