S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/11,40,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
2,2/1,35,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
3,3/1,10,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
4,5/11,66,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
5,6/17,26,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
6,7,5.44,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
7,8/1,1.76,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
8,10/26,86,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
9,12/3,15,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
10,14/16,36,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
11,16/23,48,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
12,19/9,16,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
13,20,62,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
14,21,75,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
15,22/1,19,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
16,23/12,36,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
17,24,1.30,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
18,26,2.40,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
19,27/1,26,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
20,27/2,14,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
21,27/3,18,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
22,27/4,23,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
23,27/5,66,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
24,27/6,18,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
25,28/3,7,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
26,28/1,11,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
27,28/2,7,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
28,28/4,11,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
29,28/5,27,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
30,28/6,24,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
31,28/7,11,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
32,28/8,41,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
33,28/9,14,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
34,28/10,24,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
35,28/11,18,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
36,29/15,2.64,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
37,30,1.96,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
38,30,1.96,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
39,31,4.16,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
40,32,1.45,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
41,33/2,3.91,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
42,33/4,15,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
43,33/2,3.91,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
44,35/6,2.12,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
45,35/9,49,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
46,35/7,81,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
47,35/5,1.04,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
48,35/8,44,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
49,35/11,1.30,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
50,35/13,1.16,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
51,35/14,1.14,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
52,35/16,6,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
53,35/17,81,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
54,35/3,87,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
55,35/6,2.12,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
56,35/9,49,Pedapudi Agraharam-(0320035),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Pedapudi Agraharam,2026-02-24 02:39:34
