S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,9/3,47,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
2,9/1,5.54,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
3,9/1,5.57,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
4,10/2,1.76,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
5,10/1,1.02,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
6,12/1,5.32,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
7,14/3,9,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
8,14/2,2.09,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
9,15/13,1.16,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
10,19/1,73,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
11,19/3,36,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
12,21/1,1.47,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
13,21,79.89,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
14,23,1.72,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
15,24,95,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
16,25/6,52,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
17,26/2,28,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
18,26/3,1.64,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
19,26/2,28,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
20,26/2,28,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
21,26/3,1.64,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
22,28,1.70,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
23,31/4,53,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
24,33,47,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
25,35/4,7,Polepalle-(0320021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,BUTCHAYYAPETA,Polepalle,2026-02-24 02:40:19
