S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,56/21,33,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
2,63/31,16,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
3,63/80,29,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
4,63/26,28,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
5,63/29,37,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
6,63/11,12,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
7,63/13,20,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
8,63/19,18,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
9,63/72,30,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
10,63/48,17,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
11,63/35,26,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
12,63/74,30,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
13,63/10,8,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
14,63/18,23,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
15,63/90,88,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
16,63/96,35,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
17,63/118,22,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
18,63/30,32,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
19,63/40,50,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
20,63/35,61,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
21,63/34,21,Advi Agraharam-(0308020),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Advi Agraharam,2026-02-24 02:48:58
