S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,8/19,0.16,Arjunagiri-(0308023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
2,30/28,0.19,Arjunagiri-(0308023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
3,30/28,0.04,Arjunagiri-(0308023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
4,96/9,5,Arjunagiri-(0308023),R.C.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
5,96/10,5,Arjunagiri-(0308023),R.C.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
6,96/11,48,Arjunagiri-(0308023),R.C.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
7,96/1,13,Arjunagiri-(0308023),R.C.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
8,96/2,28,Arjunagiri-(0308023),R.C.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
9,96/3,20,Arjunagiri-(0308023),R.C.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
10,96/4,0.19,Arjunagiri-(0308023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
11,96/2,0.28,Arjunagiri-(0308023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
12,96/5,0.35,Arjunagiri-(0308023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
13,96/8,55,Arjunagiri-(0308023),R.C.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
14,96/1,0.13,Arjunagiri-(0308023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
15,96/3,0.20,Arjunagiri-(0308023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
16,96/10,0.05,Arjunagiri-(0308023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
17,96/7,0.20,Arjunagiri-(0308023),R NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
18,96/12,0.20,Arjunagiri-(0308023),R NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
19,96/24,0.05,Arjunagiri-(0308023),R NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Arjunagiri,2026-02-24 02:53:32
