S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/19,0.50,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
2,5/19,0.10,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
3,5/11,0.08,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
4,6/0,4.92,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
5,7/13,0.75,Bylapoudi Singavaram-(0308018),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
6,7/16,0.40,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
7,8/10,0.08,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
8,8/9,0.05,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
9,8/6,0.11,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
10,8/2,0.96,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
11,8/1P,0.02,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
12,8/4,0.02,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
13,8/4,0.06,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
14,8/10,0.08,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
15,8/9,0.05,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
16,10/3,0.19,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
17,10/1,1.08,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
18,11/1,0.54,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
19,12/0,4.27,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
20,13/0,3.53,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
21,14/0,2.37,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
22,15/0,2.30,Bylapoudi Singavaram-(0308018),RCNO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Bylapoudi Singavaram,2026-02-24 18:34:38
