S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/5,1.22,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
2,2/6,0.18,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
3,3,5.28,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
4,4/7,0.46,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
5,5,1.27,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
6,6,0.74,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
7,14/8,0.33,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
8,20/1,1,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
9,20/2,0.30,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
10,20/3,0.20,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
11,20/4,0.12,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
12,20/5,0.35,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
13,20/6,0.34,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
14,20/7,0.10,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
15,20/8,0.17,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
16,20/9,0.08,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
17,20/10,0.10,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
18,20/11,0.30,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
19,20/7,0.10,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
20,20/10,0.10,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
21,20/2,0.15,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
22,20/1,0.30,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
23,20/2,1.10,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
24,21,10.58,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
25,22/21,0.11,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
26,23/24,0.48,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
27,25,1.15,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
28,26/21C,0.08,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
29,28/10,0.41,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
30,28/11,0.18,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
31,28/12,0.10,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
32,28/13,0.11,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
33,28/14,0.17,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
34,28/15,0.44,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
35,28/16,0.19,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
36,28/12,0.10,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
37,28/13,0.11,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
38,28/14,0.17,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
39,29/1,1.01,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
40,29/2,0.12,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
41,29/3,0.25,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
42,29/4,1.03,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
43,29/13,0.18,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
44,29/14,0.23,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
45,29/15,0.83,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
46,29/4,1.03,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
47,29/13,0.18,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
48,29/2,0.12,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
49,29/14,0.23,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
50,30/17P,0.75,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
51,30/17P,0.75,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
52,31/2,1.13,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
53,34/2,10.38,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
54,36/14,0.36,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
55,37,0.31,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
56,38/2,1.95,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
57,39/1,0.38,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
58,39/2,0.17,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
59,39/1,0.38,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
60,39/3,0.36,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
61,39/3,0.36,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
62,40/10,0.16,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
63,40/11,0.09,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
64,40/12,0.09,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
65,40/12,0.09,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
66,40/10,0.16,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
67,40/11,0.09,Chukkapalle-(0308024),RC NO.3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
68,40/13,0.27,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
69,43/1,0.56,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
70,44/1,0.38,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
71,45/1,0.50,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
72,47,1,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
73,48,0.95,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
74,49/18,0.49,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
75,50/23,0.47,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
76,51/3,0.20,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
77,52/1,3.30,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
78,53/1,0.53,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
79,53/3,0.06,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
80,53/2,0.03,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
81,54/1,2.44,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
82,54/24,0.04,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
83,54/6,0.37,Chukkapalle-(0308024),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,CHEEDIKADA,Chukkapalle,2026-02-24 03:00:57
