S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/3,3.30,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
2,1/3,3.30,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
3,2/8,0.76,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
4,4/4,0.09,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
5,9/15,0.28,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
6,11/14,0.21,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
7,12/9,0.50,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
8,20/11,0.04,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
9,20/19,0.17,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
10,22/1,0.32,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
11,23/1,0.08,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
12,23/14,0.18,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
13,23/18,0.03,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
14,24/9,0.35,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
15,24/7,0.07,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
16,25/13,0.15,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
17,25/1,0.55,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
18,28/1,0.43,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
19,29/7,0.25,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
20,32/1,0.16,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
21,33/14,1.13,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
22,34,8.02,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
23,41/7,0.19,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
24,42/7,0.78,Lingabhupala Patnam-(0308016),EC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Lingabhupala Patnam,2026-02-24 03:09:43
