S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,72/3,67,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
2,160/6,2,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
3,160/8,2,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
4,168/1,5.40,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
5,173/1,56,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
6,174/1,61,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
7,175/1,49,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
8,179/9,69,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
9,180/1,98,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
10,185/7,9,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
11,185/17,4,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
12,185/19,6,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
13,185/22,21,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
14,185/26,16,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
15,185/38,22,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
16,185/1,15,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
17,185/5,13,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
18,185/6,13,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
19,185/10,10,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
20,185/15,2,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
21,185/13,39,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
22,185/21,11,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
23,185/27,23,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
24,185/25,27,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
25,185/31,44,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
26,185/36,17,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
27,185/37,8,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
28,185/2,9,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
29,185/4,7,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
30,185/23,4,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
31,185/8,19,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
32,185/11,30,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
33,185/12,3,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
34,185/16,3,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
35,185/17,5,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
36,185/18,3,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
37,185/21,11,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
38,185/28,40,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
39,185/34,14,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
40,185/19,5,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
41,185/26,4,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
42,185/1,15,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
43,185/2,9,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
44,185/3,10,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
45,185/4,7,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
46,185/5,24,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
47,185/6,6,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
48,185/7,9,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
49,185/8,36,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
50,185/9,19,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
51,185/10,23,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
52,185/11,36,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
53,185/12,5,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
54,185/13,39,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
55,185/14,5,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
56,185/14,15,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
57,185/15,8,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
58,185/16,11,Neelampeta-(0308009),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Neelampeta,2026-02-24 03:11:21
