S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/2P,1.38,Veerapurajupeta-(0308007),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Veerapurajupeta,2026-02-24 03:19:43
2,1/2P,1.38,Veerapurajupeta-(0308007),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Veerapurajupeta,2026-02-24 03:19:43
3,1/2P,0.27,Veerapurajupeta-(0308007),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Veerapurajupeta,2026-02-24 03:19:43
4,1/3P,1.88,Veerapurajupeta-(0308007),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Veerapurajupeta,2026-02-24 03:19:43
5,2,2.12,Veerapurajupeta-(0308007),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Veerapurajupeta,2026-02-24 03:19:43
6,2/2,0.27,Veerapurajupeta-(0308007),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Veerapurajupeta,2026-02-24 03:19:43
7,3/1P,1.88,Veerapurajupeta-(0308007),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Veerapurajupeta,2026-02-24 03:19:43
8,3/2,1.88,Veerapurajupeta-(0308007),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Veerapurajupeta,2026-02-24 03:19:43
9,3/2,1.72,Veerapurajupeta-(0308007),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Veerapurajupeta,2026-02-24 03:19:43
10,4/1,1.34,Veerapurajupeta-(0308007),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Veerapurajupeta,2026-02-24 03:19:43
11,4/2,1.24,Veerapurajupeta-(0308007),RC 3795/2007/E1,25-08-2018,DISTRICT COLLECTOR,-,ANAKAPALLI,CHEEDIKADA,Veerapurajupeta,2026-02-24 03:19:43
