S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2,2.52,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
2,3,6.59,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
3,5,1.45,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
4,9/3,30,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
5,10,1.20,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
6,11,1.21,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
7,12/3,51,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
8,12/5,5.42,Ankupalem-(0321015),RC.NO.NIL/2020,11-01-2021,"E.O.SRI MOTAMARRIVARI CHOULTRY,NAKKAPALI",-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
9,12/4,0.16,Ankupalem-(0321015),RC.NO.NIL/2020,11-01-2021,"E.O.SRI MOTAMARRIVARI CHOULTRY,NAKKAPALI",-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
10,13,1.59,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
11,18,40,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
12,23,1.10,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
13,24,1.07,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
14,26,59,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
15,27,42,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
16,30,72,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
17,32,1.01,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
18,40/2,1.64,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
19,43/12,3,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
20,44/1,72,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
21,49,1.65,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
22,50,87,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
23,52,56,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
24,54,1.12,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
25,55,63,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
26,61,1.06,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
27,62,88,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
28,64/3B,4.14,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
29,64/3D,9.11,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
30,66,4.23,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
31,66,16,Ankupalem-(0321015),-,-,-,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
32,67/1A,5.42,Ankupalem-(0321015),-,-,-,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
33,68/4,2.86,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
34,68/3,44,Ankupalem-(0321015),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Ankupalem,2026-02-24 03:23:22
