S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,86/3,5.75,Bennavolu-(0321023),-,-,-,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
2,157,1,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
3,157,1,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
4,157,50,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
5,157,50,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
6,157,50,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
7,157,50,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
8,157,50,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
9,157,50,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
10,157,50,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
11,157,50,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
12,157/1,50,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
13,157/1,50,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
14,157/1,50,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
15,157/1,50,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
16,157,1,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
17,157,1,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
18,157/1,253.44,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
19,160/10,38,Bennavolu-(0321023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Bennavolu,2026-02-24 03:24:30
