S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,131/8,4,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
2,131/9,78,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
3,131/10,30,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
4,134/1,1.84,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
5,139/2,7.92,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
6,142/16,1.01,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
7,145/1,62,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
8,146,1.18,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
9,147,1.21,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
10,148,2.21,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
11,149/18,31,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
12,151/15,26,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
13,151/4,27,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
14,153/7,28,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
15,154/4,8,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
16,154/1,48,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
17,155,1.20,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
18,156,1.21,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
19,157,1.02,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
20,158,90,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
21,159,1.27,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
22,161/1,82,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
23,162/1,10,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
24,164/2,16,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
25,164/23,28,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
26,167/1,6.34,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
27,171/2,81,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
28,173/3,16,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
29,173/4,3.22,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
30,174/2,2.94,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
31,175/18,1.94,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
32,178/2,5.10,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
33,182/20,4,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
34,182/17,10,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
35,182/1,50,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
36,183/12,1,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
37,185,63,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
38,186,1.68,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
39,187,32,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
40,191,1.44,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
41,192,1.81,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
42,194,3.31,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
43,195,5.75,Gandhavaram-(0321030),"RCNO.06/2020,SA IV",17-06-2021,"COMMERICAL TAX DEPARTMENT,CHINAWALTAIR,V",CHENNUBOYINA SRINIVASA RAO,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
44,196/2,26,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
45,196/1,5.75,Gandhavaram-(0321030),"RCNO.06/2020,SA IV",17-06-2021,"COMMERICAL TAX DEPARTMENT,CHINAWALTAIR,V",CHENNUBOYINA SRINIVASA RAO,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
46,199/2,9.62,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
47,202,16.55,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
48,202/1,1.10,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
49,202/3,92,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
50,202/2,16.55,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
51,202/6,97,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
52,202/4,97,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
53,202/7,97,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
54,202/5,97,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
55,204,5.27,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
56,205/1,96,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
57,206,99,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
58,207/1,18,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
59,207/2,5.75,Gandhavaram-(0321030),"RCNO.06/2020,SA IV",17-06-2021,"COMMERICAL TAX DEPARTMENT,CHINAWALTAIR,V",CHENNUBOYINA SRINIVASA RAO S/O KONDAYYA (DOCT NO.2502/2002),ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
60,208/1,2.30,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
61,209/1,2.54,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
62,210/1,1.57,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
63,211/10,92,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
64,213/17,25,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
65,213/15,3,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
66,213/10,1.99,Gandhavaram-(0321030),RCNIO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Gandhavaram,2026-02-24 03:29:21
