S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,107,1.37,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
2,110,1.71,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
3,112/3,24,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
4,114/2,23,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
5,115/2,26,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
6,116/1,28,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
7,131,44,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
8,132,40,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
9,135,41,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
10,140,1.60,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
11,151,63,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
12,152,46,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
13,158,31,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
14,174,68,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
15,180,43,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
16,181,30,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
17,186,24,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
18,187/1,12,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
19,187/1,12,Govada-(0321021),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,CHODAVARAM,Govada,2026-02-24 03:30:51
