S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,5.46,Alamanda Kothapalle-(0307025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Alamanda Kothapalle,2026-02-24 03:43:32
2,2/8,0.16,Alamanda Kothapalle-(0307025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Alamanda Kothapalle,2026-02-24 03:43:32
3,3/8,0.52,Alamanda Kothapalle-(0307025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Alamanda Kothapalle,2026-02-24 03:43:32
4,17,0.44,Alamanda Kothapalle-(0307025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Alamanda Kothapalle,2026-02-24 03:43:32
5,20,26.20,Alamanda Kothapalle-(0307025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Alamanda Kothapalle,2026-02-24 03:43:32
6,32,0.70,Alamanda Kothapalle-(0307025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Alamanda Kothapalle,2026-02-24 03:43:32
7,33,0.42,Alamanda Kothapalle-(0307025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Alamanda Kothapalle,2026-02-24 03:43:32
8,36/2,0.07,Alamanda Kothapalle-(0307025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Alamanda Kothapalle,2026-02-24 03:43:32
9,39,0.60,Alamanda Kothapalle-(0307025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Alamanda Kothapalle,2026-02-24 03:43:32
10,40,4.34,Alamanda Kothapalle-(0307025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Alamanda Kothapalle,2026-02-24 03:43:32
