S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,5.14,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
2,2/A,2.83,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
3,3/A,2.74,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
4,5/1A,3.76,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
5,6/1,10.36,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
6,7,75,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
7,8/2,4.12,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
8,9,66,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
9,10,5.42,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
10,11,5.15,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
11,12,76,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
12,13/2,2.43,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
13,14,2.33,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
14,15,44,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
15,18,1.09,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
16,20,92,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
17,22,77,Bethapudi-(0307005),RCNO.3795/2007/E1,20-09-2018,"DIST COLLECTOR,VSP",-,ANAKAPALLI,DEVARAPALLE,Bethapudi,2026-02-24 03:44:08
