S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2,0.38,Devarapalle-(0307004),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Devarapalle,2026-02-24 18:36:20
2,3/2,1.26,Devarapalle-(0307004),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Devarapalle,2026-02-24 18:36:20
3,3/1,1.10,Devarapalle-(0307004),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Devarapalle,2026-02-24 18:36:20
4,3/3,1.06,Devarapalle-(0307004),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Devarapalle,2026-02-24 18:36:20
5,4,0.95,Devarapalle-(0307004),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Devarapalle,2026-02-24 18:36:20
6,5,0.67,Devarapalle-(0307004),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Devarapalle,2026-02-24 18:36:20
7,7/1,0.28,Devarapalle-(0307004),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Devarapalle,2026-02-24 18:36:20
8,8/1,1.72,Devarapalle-(0307004),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Devarapalle,2026-02-24 18:36:20
9,9/1,0.92,Devarapalle-(0307004),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Devarapalle,2026-02-24 18:36:20
10,10/1C,3.22,Devarapalle-(0307004),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Devarapalle,2026-02-24 18:36:20
11,10/1B,3.23,Devarapalle-(0307004),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Devarapalle,2026-02-24 18:36:20
12,10/4,3.17,Devarapalle-(0307004),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Devarapalle,2026-02-24 18:36:20
