S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,146/2,37,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
2,148,66,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
3,149,65,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
4,150/22,6,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
5,151/8,12,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
6,151/9,26,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
7,152,24,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
8,156/24,12,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
9,156/2,6,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
10,157/1,25,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
11,158,3.63,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
12,159/18,13,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
13,159/7,7,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
14,159/14,2,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
15,160/1,14,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
16,162,40,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
17,163/1,19,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
18,163/7,16,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
19,163/8,1.26,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
20,164,78,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
21,165/4,1.44,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
22,165/1,16,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
23,166,3.96,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
24,171,1.19,Kasipathirajupuram-(0307023),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,DEVARAPALLE,Kasipathirajupuram,2026-02-24 03:53:25
