S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/A/19,0.05,M. Alamanda-(0307035),RC.NO.L3/9570/2016,28-07-2016,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
2,1/31,1.06,M. Alamanda-(0307035),RC.NO.L3/9570/2016,28-07-2016,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
3,1/A/1,4.36,M. Alamanda-(0307035),RC.NO.L3/9570/2016,28-07-2016,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
4,1/A/6,6.57,M. Alamanda-(0307035),RC.NO.L3/9570/2016,28-07-2016,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
5,12/2,0.16,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
6,13,0.32,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
7,14,0.81,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
8,15/1,0.25,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
9,16/2,0.81,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
10,17,0.63,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
11,19,0.65,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
12,21,0.77,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
13,22/29,0.62,M. Alamanda-(0307035),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
14,28,1.51,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
15,31/2,0.05,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
16,33,0.79,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
17,37,1.40,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
18,38,0.57,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
19,42/3,0.17,M. Alamanda-(0307035),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
20,43,0.34,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
21,48/5,0.11,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
22,49/10,0.08,M. Alamanda-(0307035),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
23,51,0.52,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
24,55/19,0.11,M. Alamanda-(0307035),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
25,59/8,0.22,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
26,62,0.49,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
27,64,0.28,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
28,65,0.25,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
29,66/2,0.05,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
30,67,0.49,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
31,68,0.46,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
32,70/2,1.18,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
33,86/6,0.41,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
34,104/1,0.19,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
35,111,0.34,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
36,113,1.95,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
37,115/1,0.60,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
38,126,0.49,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
39,131,0.18,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
40,132,0.20,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
41,134,0.14,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
42,136,0.28,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
43,137,0.17,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
44,138,0.50,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
45,140/7,0.59,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
46,142,0.76,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
47,143,0.68,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
48,145,0.99,M. Alamanda-(0307035),RC NO 3795/2007E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,M. Alamanda,2026-02-24 03:56:32
