S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,312,0.18,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
2,314,0.44,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
3,315,0.60,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
4,316/9,2.16,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
5,317,1.20,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
6,318/11,1.52,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
7,319,0.64,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
8,320/1,2.36,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
9,321,0.40,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
10,323/2,0.25,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
11,324,0.36,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
12,330,6.99,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
13,331/5,1.86,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
14,333,1.12,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
15,335,0.25,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
16,338/45,0.15,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
17,340,0.32,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
18,343/20,0.51,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
19,349,0.70,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
20,350,0.48,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
21,364/14,0.14,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
22,365,0.14,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
23,366/2,1.60,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
24,367/2,0.90,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
25,368,1.10,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
26,369,0.89,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
27,370,2,Mushidi palle-(0307024),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Mushidi Palle,2026-02-24 03:59:17
