S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,401/16,0.42,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
2,402/2,0.02,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
3,403/1,0.25,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
4,403/3,0.32,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
5,403/4,0.07,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
6,416,0.36,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
7,417/2,0.28,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
8,417/1,1.76,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
9,418/2,0.05,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
10,420/3,0.10,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
11,424,10.72,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
12,428/1A,0.06,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
13,437,0.55,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
14,451/8,0.15,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
15,454,0.49,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
16,456,0.54,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
17,459,0.40,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
18,461/1,0.37,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
19,463,0.39,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
20,465,0.74,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
21,471,0.40,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
22,475,0.70,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
23,476/14,0.68,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
24,477,0.44,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
25,478,0.25,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
26,480,0.26,N. Gajapathi Nagara-(0307036),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,N. Gajapathi Nagara,2026-02-24 03:59:50
