S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/6,76,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
2,2/2,76,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
3,5/1B,74,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
4,5/2,1.05,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
5,5/1A,74,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
6,6,27,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
7,7/13,9,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
8,7/4,9,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
9,17/1,35,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
10,17/3,35,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
11,18/1,15,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
12,18/3,7.86,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
13,20,31.80,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
14,25/1,4.12,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
15,25/2,4.12,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
16,27,2.40,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
17,28/3,6.60,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
18,30,30.90,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
19,38/3,93,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
20,38/1,74,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
21,39/1K,3.81,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
22,39/1J,1.65,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
23,39/1I,1.56,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
24,39/1H,2.30,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
25,39/1G,4.84,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
26,39/1F,1.90,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
27,39/1E,2.05,Sammeda-(0307012),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,DEVARAPALLE,Sammeda,2026-02-24 04:04:45
