S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,6,0.91,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
2,9,0.44,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
3,10,0.80,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
4,11/16,0.11,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
5,12,1.28,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
6,14,0.41,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
7,15,0.50,Vakapalle-(0307033),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
8,16/34,0.20,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
9,17/6,0.09,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
10,17/5,0.06,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
11,30,5.80,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
12,32,15.28,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
13,33,0.51,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
14,35/7,0.72,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
15,35/25,0.60,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
16,35/6,0.57,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
17,36/38,0.39,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
18,37/5,3.56,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
19,38/1E,0.21,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
20,38/1D,0.82,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
21,38/1C,0.25,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
22,41,6.92,Vakapalle-(0307033),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,DEVARAPALLE,Vakapalle,2026-02-24 04:10:39
