S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,275,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
2,2,122.48,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
3,9,0.75,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
4,21,0.75,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
5,25,0.78,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
6,28,1.04,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
7,29,1.34,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
8,30,0.68,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
9,33/2,3.18,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
10,35/11,3.01,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
11,35/11,3.01,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
12,36/8,3.01,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
13,36/8,3.01,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
14,37/3,1.39,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
15,45,0.86,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
16,46/2,1.42,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
17,48,0.62,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
18,49,0.39,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
19,57/5,2.44,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
20,58/3,2.29,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
21,58/1,0.16,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
22,59/1,1.21,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
23,60,0.84,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
24,62/1,6.56,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
25,63,1.18,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
26,66,0.51,Valabu-(0307001),RC NO-3795/2007/E1,25-08-2019,-,-,ANAKAPALLI,DEVARAPALLE,Valabu,2026-02-24 04:11:42
