S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1A6,2,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
2,1/1A5,2,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
3,1/1A4,2,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
4,1/1A3,2,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
5,1/3,5.20,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
6,1/1A1,2,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
7,1/1A7,2,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
8,1/1A8,1.64,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
9,1/1A2,2,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
10,2/2C,1.99,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
11,2/2B,1.99,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
12,2/2A,0.73,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
13,2/1C,1.99,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
14,2/1B,0.99,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
15,2/1A,0.36,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
16,2/2D,1.04,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
17,2/4,1.86,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
18,2/2F,0.05,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
19,3/3,1.20,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
20,3/5,0.66,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
21,4/1,0.12,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
22,6/1,0.66,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
23,6/3,0.14,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
24,7/4,0.08,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
25,7/7,1.20,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
26,8/1A1,2.05,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
27,8/1A2,2.05,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
28,8/1A3,2.05,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
29,8/1A4,2.05,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
30,8/1A6,2.06,Darapalem-(0315012),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Darapalem,2026-02-24 04:19:31
