S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,8.80,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
2,2/3,0.27,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
3,2/5,8.01,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
4,3,4.84,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
5,4/1,4.25,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
6,5/1,5.04,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
7,6/1,3.66,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
8,6/2,0.30,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
9,6/3,0.12,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
10,6/5,1.28,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
11,6/6,1.36,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
12,7/1,0.10,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
13,7/3,1.98,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
14,7/6,0.32,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
15,7/9,0.30,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
16,7/10,2.16,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
17,7/11,0.39,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
18,8,13.54,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
19,9,7.41,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
20,10/1,13.51,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
21,10/2,0.49,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
22,11/1,0.07,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
23,11/2,9.29,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
24,12,0.52,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
25,13,0.94,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
26,14,0.52,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
27,15/3,0.26,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
28,16/1,0.31,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
29,17/1,7.71,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
30,18/2,11.57,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
31,19/4,2,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
32,19/5,0.04,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
33,19/6,0.37,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
34,20/1,0.27,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
35,22/3,12.45,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
36,23,7.26,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
37,24/3,0.69,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
38,24/4,0.40,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
39,25/7,0.37,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
40,26,0.58,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
41,29,0.62,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
42,30/2,0.50,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
43,30/3,1.48,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
44,31,0.91,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
45,32,6.55,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
46,34/15,0.54,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
47,35/1,0.26,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
48,35/2,0.14,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
49,35/3,0.21,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
50,35/4,0.11,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
51,36/1,1.19,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
52,37/1,1.09,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
53,38/2,7.91,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
54,39/2,3.16,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
55,40/1,2.91,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
56,41/2,4.05,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
57,42/1,7.12,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
58,42/2,0.50,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
59,43/1,0.67,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
60,44/3,5.76,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
61,44/6,0.16,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
62,44/10,0.23,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
63,44/11,0.30,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
64,44/13,0.64,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
65,44/14,0.54,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
66,44/15,0.40,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
67,44/16,0.32,Karaka-(0315028),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Karaka,2026-02-24 04:25:47
