S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,4.54,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
2,1/2,3.46,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
3,1/3,0.16,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
4,2/1,3.07,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
5,2/2,2.44,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
6,2/3,1.12,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
7,3/1,0.55,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
8,3/2,0.60,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
9,3/3,1.60,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
10,3/4,0.78,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
11,3/5,0.32,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
12,3/6,0.48,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
13,3/7,0.30,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
14,3/8,0.71,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
15,4/3,0.68,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
16,4/1,7.68,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
17,4/2,0.30,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
18,4/7,0.18,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
19,4/4,0.19,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
20,4/5,0.42,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
21,4/6,0.50,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
22,4/8,0.76,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
23,4/9,0.07,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
24,5/1,2.04,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
25,5/2,0.68,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
26,5/3,1.83,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
27,6,2.59,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
28,7/1,3.72,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
29,7/2,0.36,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
30,7/3,2.52,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
31,7/4,1.27,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
32,8/1,2.52,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
33,8/2,0.42,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
34,8/3,0.07,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
35,8/4,0.34,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
36,8/5,0.08,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
37,8/7,2.29,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
38,9/1,0.10,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
39,9/2,0.16,Pogachetlapalem-(0315033),RC NO 3795/2007/E1,20-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,-,ANAKAPALLI,GOLUGONDA,Pogachetlapalem,2026-02-24 04:41:43
