S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,8,2.27,Ameensahebpeta-(0335023),RC NO : 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,STATE GOVT,ANAKAPALLI,KASIMKOTA,Ameensahebpeta,2026-02-24 05:22:11
2,9,1.72,Ameensahebpeta-(0335023),RC NO : 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,STATE GOVT,ANAKAPALLI,KASIMKOTA,Ameensahebpeta,2026-02-24 05:22:11
3,13,86,Ameensahebpeta-(0335023),RC NO : 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,STATE GOVT,ANAKAPALLI,KASIMKOTA,Ameensahebpeta,2026-02-24 05:22:11
4,14/2,2,Ameensahebpeta-(0335023),RC NO : 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,STATE GOVT,ANAKAPALLI,KASIMKOTA,Ameensahebpeta,2026-02-24 05:22:11
5,14/5,8,Ameensahebpeta-(0335023),RC NO : 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,STATE GOVT,ANAKAPALLI,KASIMKOTA,Ameensahebpeta,2026-02-24 05:22:11
6,14/4,2,Ameensahebpeta-(0335023),RC NO : 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,STATE GOVT,ANAKAPALLI,KASIMKOTA,Ameensahebpeta,2026-02-24 05:22:11
7,15,27,Ameensahebpeta-(0335023),RC NO : 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,STATE GOVT,ANAKAPALLI,KASIMKOTA,Ameensahebpeta,2026-02-24 05:22:11
8,17,1.17,Ameensahebpeta-(0335023),RC NO : 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,STATE GOVT,ANAKAPALLI,KASIMKOTA,Ameensahebpeta,2026-02-24 05:22:11
9,22/1-A/B,55,Ameensahebpeta-(0335023),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVT LAND,ANAKAPALLI,KASIMKOTA,Ameensahebpeta,2026-02-24 05:22:11
10,22/1-A/1,55,Ameensahebpeta-(0335023),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVT LAND,ANAKAPALLI,KASIMKOTA,Ameensahebpeta,2026-02-24 05:22:11
11,22/1-A/3,55,Ameensahebpeta-(0335023),RC NO :3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVT LAND,ANAKAPALLI,KASIMKOTA,Ameensahebpeta,2026-02-24 05:22:11
12,28/1,171.10,Ameensahebpeta-(0335023),RC NO : 3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,STATE GOVT,ANAKAPALLI,KASIMKOTA,Ameensahebpeta,2026-02-24 05:22:11
