S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,0.21,Chintalapalem-(0335024),R.C NO 3795/2007/E,28-09-2018,"DISTRIC COLLECTOR,VSP",GOVERANAMENT,ANAKAPALLI,KASIMKOTA,Chintalapalem,2026-02-24 05:27:16
2,2/2,1.73,Chintalapalem-(0335024),R.C NO 3795/2007/E,28-09-2018,"DISTRIC COLLECTOR,VSP",GOVERANAMENT,ANAKAPALLI,KASIMKOTA,Chintalapalem,2026-02-24 05:27:16
3,2,1.73,Chintalapalem-(0335024),RC.NO.3795/2007/E1,28-09-2018,"DISTRICT COLLECTOR,VISAKHAPATNAM",-,ANAKAPALLI,KASIMKOTA,Chintalapalem,2026-02-24 05:27:16
4,3/3-8,0.08,Chintalapalem-(0335024),R.C NO 3795/2007/E,28-09-2018,"DISTRIC COLLECTOR,VSP",GOVERANAMENT,ANAKAPALLI,KASIMKOTA,Chintalapalem,2026-02-24 05:27:16
5,5,0.47,Chintalapalem-(0335024),R.C NO 3795/2007/E,28-09-2018,"DISTRIC COLLECTOR,VSP",GOVERANAMENT,ANAKAPALLI,KASIMKOTA,Chintalapalem,2026-02-24 05:27:16
6,9,0.65,Chintalapalem-(0335024),R.C NO 3795/2007/E,28-09-2018,"DISTRIC COLLECTOR,VSP",GOVERANAMENT,ANAKAPALLI,KASIMKOTA,Chintalapalem,2026-02-24 05:27:16
7,11,0.16,Chintalapalem-(0335024),R.C NO 3795/2007/E,28-09-2018,"DISTRIC COLLECTOR,VSP",GOVERANAMENT,ANAKAPALLI,KASIMKOTA,Chintalapalem,2026-02-24 05:27:16
8,40,29,Chintalapalem-(0335024),R.C NO 3795/2007/E,28-09-2018,"DISTRIC COLLECTOR,VSP",GOVERANAMENT,ANAKAPALLI,KASIMKOTA,Chintalapalem,2026-02-24 05:27:16
9,42,12,Chintalapalem-(0335024),R.C NO 3795/2007/E,28-09-2018,"DISTRIC COLLECTOR,VSP",GOVERANAMENT,ANAKAPALLI,KASIMKOTA,Chintalapalem,2026-02-24 05:27:16
10,44,20,Chintalapalem-(0335024),R.C NO 3795/2007/E,28-09-2018,"DISTRIC COLLECTOR,VSP",GOVERANAMENT,ANAKAPALLI,KASIMKOTA,Chintalapalem,2026-02-24 05:27:16
