S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/1,0.04,Gobburu-(0335021),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Gobburu,2026-02-24 05:30:03
2,3,0.44,Gobburu-(0335021),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Gobburu,2026-02-24 05:30:03
3,5,0.46,Gobburu-(0335021),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Gobburu,2026-02-24 05:30:03
4,9,0.33,Gobburu-(0335021),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Gobburu,2026-02-24 05:30:03
5,10/2,3.14,Gobburu-(0335021),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Gobburu,2026-02-24 05:30:03
6,16,0.65,Gobburu-(0335021),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Gobburu,2026-02-24 05:30:03
7,18/1A,0.25,Gobburu-(0335021),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Gobburu,2026-02-24 05:30:03
8,19,3.75,Gobburu-(0335021),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Gobburu,2026-02-24 05:30:03
9,25/1,0.30,Gobburu-(0335021),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Gobburu,2026-02-24 05:30:03
10,25/2B,0.06,Gobburu-(0335021),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Gobburu,2026-02-24 05:30:03
