S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,6,0.19,Narasapuram-(0335013),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT LAND,ANAKAPALLI,KASIMKOTA,Narasapuram,2026-02-24 05:34:09
2,9/29,0.40,Narasapuram-(0335013),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT LAND,ANAKAPALLI,KASIMKOTA,Narasapuram,2026-02-24 05:34:09
3,9/14,0.16,Narasapuram-(0335013),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT LAND,ANAKAPALLI,KASIMKOTA,Narasapuram,2026-02-24 05:34:09
4,9/8,0.80,Narasapuram-(0335013),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT LAND,ANAKAPALLI,KASIMKOTA,Narasapuram,2026-02-24 05:34:09
5,9/7,0.10,Narasapuram-(0335013),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT LAND,ANAKAPALLI,KASIMKOTA,Narasapuram,2026-02-24 05:34:09
6,9/6,0.62,Narasapuram-(0335013),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT LAND,ANAKAPALLI,KASIMKOTA,Narasapuram,2026-02-24 05:34:09
7,9/5,0.06,Narasapuram-(0335013),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT LAND,ANAKAPALLI,KASIMKOTA,Narasapuram,2026-02-24 05:34:09
8,9/3,0.23,Narasapuram-(0335013),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT LAND,ANAKAPALLI,KASIMKOTA,Narasapuram,2026-02-24 05:34:09
9,9/2,0.46,Narasapuram-(0335013),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT LAND,ANAKAPALLI,KASIMKOTA,Narasapuram,2026-02-24 05:34:09
10,9/1,5.69,Narasapuram-(0335013),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT LAND,ANAKAPALLI,KASIMKOTA,Narasapuram,2026-02-24 05:34:09
11,9/4,0.22,Narasapuram-(0335013),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT LAND,ANAKAPALLI,KASIMKOTA,Narasapuram,2026-02-24 05:34:09
