S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2,0.41,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
2,4,0.46,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
3,5,0.39,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
4,6,0.46,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
5,7,0.63,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
6,8,0.43,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
7,9,0.27,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
8,11,1.19,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
9,18,0.53,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
10,19,1.11,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
11,25,0.61,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
12,28,0.45,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
13,31,0.69,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
14,32,1.81,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
15,33,0.64,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
16,39,1.46,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
17,40,0.26,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
18,40,0.29,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
19,44,0.60,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
20,45,0.92,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
21,48,0.97,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
22,50,0.23,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
23,52,0.13,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
24,55/4,0.37,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
25,56,1.06,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
26,59,0.57,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
27,60,0.29,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
28,61/4,0.16,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
29,63,0.61,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
30,64,0.36,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
31,77,1.09,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
32,91,0.55,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
33,92,0.80,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
34,104,0.27,Perantalapalem-(0335012),RC NO.3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VSP,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Perantalapalem,2026-02-24 18:39:59
