S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,371.74,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
2,2/2,22.45,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
3,3/3B,2.54,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
4,6/2A,0.57,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
5,6/2B,0.57,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
6,6/2C,0.56,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
7,7/1C,0.63,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
8,7/1A,0.65,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
9,7/1B,0.65,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
10,8,2.99,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
11,9,2.15,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
12,10,2.31,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
13,11/1,0.25,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
14,11/3,1.58,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
15,11/4,1.24,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
16,11,3.86,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
17,11/2,0.79,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
18,13,1.65,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
19,14,3,Singavaram-(0335005),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI BASAVESWARA SWAMY TEMPLE,BANGARAYYAPALEM",ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
20,17/2B,0.77,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
21,18/6B,1.25,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
22,19/2,0.85,Singavaram-(0335005),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI BASAVESWARA SWAMY TEMPLE,BANGARAYYAPALEM",ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
23,19/3,2.81,Singavaram-(0335005),RCNOL3/9570/2016,28-07-2016,"ASST COMMISSIONER,ENDOWMWNT DEPT","SRI BASAVESWARA SWAMY TEMPLE,BANGARAYYAPALEM",ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
24,19/2B,2.34,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
25,20,0.69,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
26,21,0.88,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
27,22,0.77,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
28,23/1,0.12,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
29,24/1,0.13,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
30,25,0.80,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
31,27,0.47,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
32,28/1A,0.19,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
33,29/1A,2.15,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
34,31/46,0.95,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
35,31/21,2.43,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
36,31/45B,0.35,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
37,33,1.53,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
38,34,1.52,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
39,38/4,0.97,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
40,38/3,0.58,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
41,39/1,2.85,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
42,39/3,0.03,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
43,41,0.51,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
44,42/3A,3.23,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
45,43/1,0.22,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
46,44,1.09,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
47,45,1.24,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
48,46/19B,0.25,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
49,48/12B,2.58,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
50,49/1B,5.43,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
51,50,5.24,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
52,51,1.04,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
53,52/1B,0.83,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
54,53,3.84,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
55,54,3.21,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
56,56,1.75,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
57,58,43.12,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
58,59,9.26,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
59,61,173.54,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
60,68/1,3.19,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
61,68/2,2.16,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
62,68/4,2.70,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
63,68/3,1.14,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
64,68/5,2.96,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
65,69/1,3.38,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
66,69/2,1.31,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
67,69/4,2.91,Singavaram-(0335005),RC NO:3795/2007/E1,28-09-2018,DISTRICT COLLECTOR VISAKHAPATNAM,GOVERNMENT,ANAKAPALLI,KASIMKOTA,Singavaram,2026-02-24 18:40:39
