S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2,5.06,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
2,8/2,0.04,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
3,11/3C,0.25,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
4,11/2D,0.14,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
5,12/6,25.53,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
6,12/14,0.66,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
7,15/4A/5,3.71,Bodapalem-(0337002),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
8,15/5,5.19,Bodapalem-(0337002),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
9,15/4A/3,0.50,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
10,15/4A/4,1.86,Bodapalem-(0337002),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
11,15/2,2.19,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
12,15/4A/3,0.50,Bodapalem-(0337002),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
13,15/4A/4,1.86,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
14,15/5,5.19,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
15,15/4A/5,3.71,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
16,15/4A,2.02,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
17,15/4A,2.02,Bodapalem-(0337002),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
18,20,2.03,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
19,21/1,2.10,Bodapalem-(0337002),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
20,24,1.82,Bodapalem-(0337002),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
21,28,1.58,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
22,30/1C,1.13,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
23,30/2A,0.05,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
24,32/2,1.12,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
25,34,1.79,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
26,36/1,3.34,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
27,36/3,2.35,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
28,40,0.84,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
29,41/1B,2.07,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
30,41/1A,4.36,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
31,41/1,2.07,Bodapalem-(0337002),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
32,44/8A,0.58,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
33,44/8B,0.88,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
34,44/8,0.88,Bodapalem-(0337002),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
35,46,1.65,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
36,48,0.06,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
37,52,20,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
38,54,3.53,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
39,55,0.67,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
40,59/2A,1.04,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
41,61/2B,0.17,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
42,61/3C,0.44,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
43,61/2C,0.01,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
44,61/1B,0.03,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
45,65/2,0.82,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
46,66/1B,1.29,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
47,68,1.66,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
48,80,0.82,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
49,84,1.59,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
50,88/2,3.64,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
51,91,1.04,Bodapalem-(0337002),3795/2007/E1,20-09-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Bodapalem,2026-02-24 18:49:06
