S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,8.34,Kotauratla-(0337015),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
2,4,1.49,Kotauratla-(0337015),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
3,4/1,6.69,Kotauratla-(0337015),-,29-11-2016,ASST COMMISSIONER VISAKHATPANTM,KODANDA RAMA SWAMY TEMPLE KOTAURATLA,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
4,4/2,5.36,Kotauratla-(0337015),-,29-11-2016,ASST COMMISSIONER VISAKHATPANTM,KODANDA RAMA SWAMY TEMPLE KOTAURATLA,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
5,5/2,5.51,Kotauratla-(0337015),-,29-11-2016,ASST COMMISSIONER VISAKHATPANTM,KODANDA RAMA SWAMY TEMPLE KOTAURATLA,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
6,5/1,8.63,Kotauratla-(0337015),-,29-11-2016,ASST COMMISSIONER VISAKHATPANTM,KODANDA RAMA SWAMY TEMPLE KOTAURATLA,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
7,6/1,0.40,Kotauratla-(0337015),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
8,10,2,Kotauratla-(0337015),0,29-11-2016,ASST COMMIS VSP,KODANDA RAMA SWAMY TEMPLE,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
9,10,2,Kotauratla-(0337015),RC.NO1/34576/2007 ENDWOMENT COMMIS HYD,13-11-2008,SRI KODANDRAMA SWAMY TEMPLE,ENDOWMENT LANDS,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
10,10,8,Kotauratla-(0337015),RC.NO1/34576/2007 ENDWOMENT COMMIS HYD,13-11-2008,SRI KODANDRAMA SWAMY TEMPLE,ENDOWMENT LANDS,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
11,10,1.76,Kotauratla-(0337015),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
12,12,0.52,Kotauratla-(0337015),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
13,14,4.14,Kotauratla-(0337015),0,29-11-2016,ASST COMMIS VSP,KODANDA RAMA SWAMY TEMPLE,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
14,14/1,0.22,Kotauratla-(0337015),0,29-11-2016,ASST COMMIS VSP,KODANDA RAMA SWAMY TEMPLE,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
15,14,4.14,Kotauratla-(0337015),RC.NO 3795/2008/E1,14-07-2015,DISTRICT COLLECTOR VISAKHAPATNAM,KODANDA RAMA SWAMY TEMPLE,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
16,14,4.14,Kotauratla-(0337015),RC.NO1/34576/2007 ENDWOMENT COMMIS HYD,13-11-2008,SRI KODANDRAMA SWAMY TEMPLE,ENDOWMENT LANDS,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
17,14/1,0.22,Kotauratla-(0337015),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
18,15/3,28,Kotauratla-(0337015),0,29-11-2016,ASST COMMIS VSP,KODANDA RAMA SWAMY TEMPLE,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
19,15/3,28,Kotauratla-(0337015),0,29-11-2016,E.O,KODANDA RAMASWAMY TEMPLE,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
20,15/2,0.62,Kotauratla-(0337015),0,29-11-2016,ASST COMMIS VSP,KODANDA RAMA SWAMY TEMPLE,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
21,15/2,62,Kotauratla-(0337015),RC.NO 3795/2008/E1,14-07-2015,DISTRICT COLLECTOR VISAKHAPATNAM,KODANDA RAMA SWAMY TEMPLE,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
22,15/2,1.22,Kotauratla-(0337015),525/G1/2018,04-10-2018,COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Kotauratla,2026-02-24 18:56:24
