S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,32,Lingapuram-(0337007),0,29-11-2016,ASST COMMISIONR,RAJAGOPALA SWAMY TEMPLE,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
2,1,300,Lingapuram-(0337007),0,29-11-2016,ASST COMMISIONR,RAJAGOPALA SWAMY TEMPLE,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
3,1/5,1.80,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
4,1/3,0.90,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
5,1/1B,1.39,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
6,1/1A,80,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
7,1,300,Lingapuram-(0337007),RC.NO 3795/2008/E1,14-07-2015,DISTRICT COLLECTOR VISAKHAPATANM,RAJAGOPALA SWAMY TEMPLE KAILASAPATNAM,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
8,1,32,Lingapuram-(0337007),RC.NO 3795/2008/E1,14-07-2015,DISTRICT COLLECTOR VISAKHAPATANM,RAJAGOPALA SWAMY TEMPLE KAILASAPATNAM,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
9,1,32,Lingapuram-(0337007),RCNO1/34576/2007 COMISSIN ENDOW HYD,13-11-2008,RAJAGOPLA SWMAY TEMPLE,ENDOWMENT LAND,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
10,1,300,Lingapuram-(0337007),RCNO1/34576/2007 COMISSIN ENDOW HYD,13-11-2008,RAJAGOPLA SWMAY TEMPLE,ENDOWMENT LAND,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
11,2,1.76,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
12,5/1A,1.50,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
13,6/1,4.94,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
14,6/1,4.94,Lingapuram-(0337007),RC.NO.3795/2017/E1,20-09-2018,"THE DIST COLLECTOR ,VSP.",-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
15,7,2.48,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
16,8,1.04,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
17,9,1.24,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
18,10/7,1.60,Lingapuram-(0337007),RC.NO.3795/2007/E1,20-09-2018,DIST. COLLECTOR VSP.,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
19,10/1,3.93,Lingapuram-(0337007),RC.NO.3795/2007/E1,20-09-2018,DIST. COLLECTOR VSP.,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
20,10/7,1.60,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
21,10/1,3.93,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
22,14/2,0.42,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
23,16,1.03,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
24,17,0.73,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
25,18/1,0.09,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
26,18/4,0.07,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
27,18/3,0.05,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
28,18/2,1.21,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
29,19/6C,0.06,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
30,20/6B,0.14,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
31,21/3B,0.58,Lingapuram-(0337007),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Lingapuram,2026-02-24 18:57:57
