S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/2,0.07,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
2,3/2,0.01,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
3,3/2,0.10,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
4,5,1.25,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
5,6/2,0.26,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
6,8/2,8.46,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
7,9/2,3.25,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
8,10/1B,1.12,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
9,11,14.71,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
10,12/2,0.70,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
11,12/1A,0.01,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
12,13,5.25,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
13,18/4,0.08,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
14,31/9A,1.62,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
15,31/9A,1.62,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
16,31/9B,1.13,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
17,31/9B,1.13,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
18,31/9B,1.13,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
19,31/9A,1.62,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
20,31/13,0.39,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
21,31/4,81.01,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
22,36/2,1.61,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
23,37/2,2.34,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
24,38,0.38,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
25,39/1,0.01,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
26,51,0.88,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
27,62,0.42,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
28,63,0.87,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
29,71/1B,1.63,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
30,73/2,2.79,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
31,78,0.35,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
32,79/1A,0.04,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
33,79/3A,0.02,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
34,80/3A,1.13,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
35,80/4,0.57,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
36,80/2B,3.94,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
37,80/3A3,1.38,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
38,80/3B,1.38,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
39,80/3A,0.24,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
40,80/3B,1.12,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
41,80/3A3,0.24,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
42,84/4A2,1.12,Yendapalle-(0337010),DIST.COLL.23693/2023/L3(LM),05-04-2023,DR.AKP.E1/220/2023,LCC LAND,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
43,84/4A1,1.13,Yendapalle-(0337010),DIST.COLL.23693/2023/L3(LM),05-04-2023,DR.AKP.E1/220/2023,LCC LAND,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
44,84/4A2,1.12,Yendapalle-(0337010),3795/2007/E1,20-09-2018,DIST COLLECTOR VSP,-,ANAKAPALLI,KOTAURATLA,Yendapalle,2026-02-24 19:06:42
