S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2,30.65,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
2,10/2,0.01,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
3,12,0.61,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
4,13,0.34,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
5,20/5,0.61,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
6,23/4,0.10,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
7,27,0.94,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
8,28/2,0.82,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
9,29/2,0.67,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
10,34,0.24,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
11,35/14,0.03,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
12,37,1.62,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
13,38/11,0.13,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
14,40,11.55,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,PROHIBITED LIST,GOVT,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
15,41/2,1.03,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
16,43/1,1.71,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
17,55,0.92,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
18,56,0.80,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
19,58/6,0.13,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
20,59/1,0.94,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
21,60/1,0.48,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
22,63/2,0.91,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
23,66/2,73,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
24,67/3,0.77,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
25,68/5B,0.49,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
26,68/11,0.40,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
27,69/2,2.71,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
28,70,0.78,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
29,71,0.27,Alamandakoduru-(0322017),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
30,72,0.21,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
31,73/2,0.09,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
32,73/1,1.43,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
33,74,1.10,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
34,75,0.36,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
35,76,0.37,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
36,78,0.20,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
37,83/6B,0.90,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
38,86/17,0.13,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
39,87/17,0.08,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
40,91/2,1.68,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
41,106/2,14.97,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
42,111,0.49,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
43,116,0.89,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
44,117/1,0.58,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
45,117/2,0.06,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
46,117/3,0.44,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
47,117/4,24.65,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
48,120,0.20,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
49,121,0.29,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
50,129,0.28,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
51,131/1,1.02,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
52,137,0.70,Alamandakoduru-(0322017),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
53,139/16,0.11,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
54,141,0.50,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
55,142/1,0.68,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
56,143/25,0.13,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
57,144,1.18,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
58,154/1,1.03,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
59,155,0.89,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
60,156,1.38,Alamandakoduru-(0322017),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Alamandakoduru,2026-02-24 04:47:56
