S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,1,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
2,1/1,1,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
3,1/1,2,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
4,1/1,3,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
5,1/6,1.63,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
6,1/18,1.63,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
7,1/20,3,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
8,1/8,3.58,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
9,1/21,2.37,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
10,1/9,0.24,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
11,1/11,0.37,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
12,1/14,0.12,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
13,1/2,4,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
14,1/3,5,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
15,1/4,1,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
16,1/6,1.63,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
17,1/14,0.12,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
18,1/8,3.52,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
19,1/9,0.24,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
20,1/11,0.37,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
21,1/18,1.63,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
22,1/20,3,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
23,1/21,2.37,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
24,1,28.63,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
25,2/4,3,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
26,2/7,0.94,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
27,2/3,0.76,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
28,2/6,0.76,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
29,2/3,0.94,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
30,2/7,0.94,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
31,2/3,7.06,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
32,2/8,3.58,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
33,3/1,4.40,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
34,3/3,3.11,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
35,3,11.14,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
36,4/7,1.22,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
37,4/1,0.61,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
38,4/6,3,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
39,4/8,0.64,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
40,4/2,0.57,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
41,4/1,5.47,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
42,4/3,0.03,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
43,4/4,0.65,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
44,5/1,0.08,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
45,5/2,0.15,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
46,6/2,0.27,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
47,7/1,6.27,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
48,7/2,55.84,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
49,7/2,55.84,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
50,9/2,4,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
51,9/4,5,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
52,9/5,2.41,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
53,9/2,11.41,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
54,10,36.33,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
55,11,110.30,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
56,12/35,0.19,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
57,13,0.37,Chendrayyapeta-(0322025),RC NO 3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
58,14/18,0.69,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
59,14/19,1,Chendrayyapeta-(0322025),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
60,14/16,1.80,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
61,14/16,1.80,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
62,14/17,0.90,Chendrayyapeta-(0322025),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Chendrayyapeta,2026-02-24 04:50:55
