S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,5.45,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
2,1/2,0.04,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
3,1/4,0.16,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
4,1/5,0.13,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
5,1/6,0.15,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
6,1/7,0.20,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
7,1,0.22,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
8,1,0.15,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
9,1,0.10,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
10,1,0.22,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
11,1,0.42,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
12,1,0.22,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
13,1,0.17,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
14,1,0.42,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
15,1,0.52,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
16,1,0.22,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
17,1,0.25,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
18,1,0.20,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
19,1,0.33,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
20,1,0.42,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
21,1,0.22,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
22,1,0.25,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
23,1,0.15,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
24,1,0.52,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
25,1,0.45,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
26,1,0.36,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
27,1,0.25,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
28,1,0.07,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
29,1,0.12,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
30,1,0.04,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
31,1,0.22,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
32,1,0.12,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
33,1,0.03,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
34,1,0.15,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
35,1,0.34,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
36,1,0.25,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
37,1,0.07,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
38,1,0.25,Deekshitula Agraharam-(0322008),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Deekshitula Agraharam,2026-02-24 04:53:38
