S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,157/22,0.98,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
2,157/20,0.49,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
3,157/20,0.36,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
4,382/1,0.05,Gavarapalem-(0322006),RC NP-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
5,385/2,0.42,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
6,385/1,1.78,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
7,386/4,0.35,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
8,386/1,1.36,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
9,386/9,0.06,Gavarapalem-(0322006),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
10,386/10,0.07,Gavarapalem-(0322006),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
11,386/8,0.11,Gavarapalem-(0322006),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
12,386/4,0.11,Gavarapalem-(0322006),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
13,387/14,0.07,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
14,387/15,0.07,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
15,387/16,0.07,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
16,387/17,0.06,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
17,387/8,0.64,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
18,387/13,0.06,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
19,387/11,0.05,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
20,387/12,0.07,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
21,397,3.78,Gavarapalem-(0322006),RC.NO.L3/9570/2016,28-07-2016,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
22,398,0.86,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
23,399,3.79,Gavarapalem-(0322006),RC.NO.L3/9570/2016,28-07-2016,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
24,401/1,0.41,Gavarapalem-(0322006),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gavarapalem,2026-02-24 04:55:57
