S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/17,0.36,Gondupalem-(0322027),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gondupalem,2026-02-24 04:57:13
2,10,13.25,Gondupalem-(0322027),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gondupalem,2026-02-24 04:57:13
3,13/2,0.38,Gondupalem-(0322027),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gondupalem,2026-02-24 04:57:13
4,16/1,0.30,Gondupalem-(0322027),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gondupalem,2026-02-24 04:57:13
5,19,0.21,Gondupalem-(0322027),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gondupalem,2026-02-24 04:57:13
6,21/2,0.12,Gondupalem-(0322027),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gondupalem,2026-02-24 04:57:13
7,24/2,1.83,Gondupalem-(0322027),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gondupalem,2026-02-24 04:57:13
8,25/2,3.08,Gondupalem-(0322027),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gondupalem,2026-02-24 04:57:13
9,26/2,0.06,Gondupalem-(0322027),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gondupalem,2026-02-24 04:57:13
10,26/4,3.69,Gondupalem-(0322027),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gondupalem,2026-02-24 04:57:13
11,27/2,0.15,Gondupalem-(0322027),RC.NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Gondupalem,2026-02-24 04:57:13
