S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/2,0.14,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
2,1/1,0.10,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
3,2/6,0.73,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
4,2/4,1.02,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
5,2/3,0.31,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
6,2/8,0.31,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
7,2/7,0.35,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
8,2/5,0.87,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
9,2/1,0.23,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
10,2/2,0.91,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
11,2/4,0.36,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
12,3/14,0.93,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
13,3/13,0.09,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
14,3/12,1.07,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
15,3/12,2.85,K. Jagannadhapuram-(0322005),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,K. Jagannadhapuram,2026-02-24 04:59:53
