S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/10,0.09,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
2,1/5,0.08,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
3,1/1,0.82,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
4,1/10,0.09,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
5,2/24,0.31,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
6,3/22,0.52,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
7,4/11,0.25,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
8,5/19,0.13,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
9,5/9A,0.08,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
10,5/8B,0.16,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
11,6/14,0.38,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
12,6/3,0.14,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
13,6/15,0.08,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
14,8/12,0.12,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
15,9/13,0.40,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
16,11/6,0.10,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
17,12,1.20,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
18,13,1.18,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
19,14,0.65,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
20,15,10.80,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
21,16/1B,0.12,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
22,16/2,0.04,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
23,16/3A,0.04,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
24,16/4,0.40,Kavi.Kondala Agraharam-(0322023),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kavi.Kondala Agraharam,2026-02-24 05:00:35
