S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/1,0.44,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
2,2/11,3.30,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
3,2/4,0.99,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
4,3/1,0.06,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
5,3/2,1.78,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
6,4/2,0.99,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
7,4/1,0.27,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
8,8/1,0.01,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
9,9/4,0.25,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
10,11/2,3.30,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
11,11/1,0.19,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
12,12/14,0.63,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
13,12/13,0.56,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
14,14/2,0.11,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
15,17/5,0.04,Kintada Kotapadu-(0322020),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Kintada Kotapadu,2026-02-24 05:03:13
