S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,215/8B,1.50,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
2,216/1,0.47,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
3,216/3,2.99,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
4,216/5,1.54,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
5,216/2,1.27,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
6,216/6,2.29,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
7,216/2B,0.40,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
8,216/4,0.33,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
9,217/2,1.50,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
10,217/4,0.10,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
11,217/1,0.50,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
12,217/5,0.07,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
13,217/15,0.15,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
14,218,0.44,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
15,218/1,140.82,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
16,220/5,0.21,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
17,220/6,0.56,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
18,220/4,0.08,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
19,221/5,0.25,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
20,221/6,0.15,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
21,221/7,0.94,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
22,221/9,0.54,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
23,221/1A,0.18,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
24,221/8,0.01,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
25,222/2,0.11,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
26,223,0.42,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
27,224,0.42,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
28,230/16,0.09,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
29,233,1.55,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
30,234,0.54,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
31,235,0.69,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
32,238,12.01,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
33,239,0.53,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
34,239/8,0.14,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
35,240,0.72,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
36,243,0.50,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
37,245/1,0.13,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
38,249/8,0.04,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
39,249/7,0.02,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
40,252,0.62,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
41,253,6.04,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
42,254/12,0.39,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
43,256/2,4.30,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
44,256,2.22,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
45,258/2,0.03,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
46,258/5,0.56,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
47,259,1.44,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
48,261/1,0.15,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
49,262/1,0.13,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
50,263/1,0.18,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
51,268,0.95,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
52,268/1,0.95,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
53,269/1,0.13,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
54,270/10,0.80,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
55,271,0.54,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
56,274/1,0.23,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
57,275/1,0.26,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
58,280/12,0.28,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
59,281,1.62,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
60,283,0.93,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
61,284,1.50,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
62,285,0.25,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
63,287,4.05,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
64,293,0.46,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
65,294,5.34,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
66,295/31,0.26,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
67,296,4.37,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
68,298/23,0.28,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
69,301/14,0.22,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
70,301/15B,0.57,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
71,301/15A,0.56,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
72,302/14,0.11,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
73,302/12,0.13,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
74,302/11,0.13,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
75,302/10,0.03,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
76,302/1,0.08,Ramayogi Agraharam-(0322004),RC NO-3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Ramayogi Agraharam,2026-02-24 05:13:22
