S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,5,0.54,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
2,8,0.98,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
3,8,0.98,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
4,9/10,0.09,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
5,10,1.06,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
6,15/2,36.26,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
7,20/2,0.43,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
8,29/8,0.87,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
9,30/5,0.03,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
10,31/1,53.27,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
11,34/2,0.22,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
12,36/18,0.41,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
13,41/1,0.25,Rongalinaidupalem-(0322029),RCNO3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Rongalinaidupalem,2026-02-24 05:14:04
