S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,127/5,0.05,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
2,131/2,17.40,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
3,132/4,0.40,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
4,136/1,0.23,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
5,137/2,0.33,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
6,139,169.84,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
7,146,1.22,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
8,147,0.68,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
9,149/25,0.03,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
10,150,1.16,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
11,153,0.91,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
12,154/17,0.93,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
13,154/15,0.55,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
14,154/6,0.54,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
15,154/13,0.16,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
16,155,1.57,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
17,155/1,1,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
18,155,2.57,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
19,156/9,2.54,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
20,156/13,0.16,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
21,156/15,0.55,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
22,156/17,0.93,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
23,158/1,0.16,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
24,158/2,0.11,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
25,158/3,1.21,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
26,163/20,0.35,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
27,172/1,0.27,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
28,172/4,0.01,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
29,173/1,2.06,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
30,173/2,0.03,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
31,175/1,1.10,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
32,176/3,0.53,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
33,184/2,4.44,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
34,184/4,0.29,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
35,184/2,2.10,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
36,185/3,1.14,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
37,188/3,0.72,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
38,189/8,0.01,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
39,190/1,0.24,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
40,191/2,1.22,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
41,193/4,0.62,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
42,194/3,1.24,Srungavaram-(0322010),RC NO.3795/2007/E1,25-08-2018,-,-,ANAKAPALLI,K KOTAPADU,Srungavaram,2026-02-24 05:16:08
