S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,151.12,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
2,1/3,3.27,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
3,1/4,3.27,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
4,1/5,66,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
5,1/6,38,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
6,1/2,1.68,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
7,2/5,84,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
8,2/5,84,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
9,2/2,1.42,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
10,3/2,6,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
11,3/1,1.46,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
12,4/B,91,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
13,5/B,1.05,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
14,6/B,47,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
15,7/2,83,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
16,7/3,4.68,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
17,7/1,31,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
18,9/3,26,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
19,10/1B,99,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
20,12/9,1.46,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
21,13,12.58,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
22,14,4.04,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
23,16/2,21,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
24,17,2.16,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
25,18,1.01,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
26,19/8,7,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
27,22,1.86,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
28,25/1,2.11,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
29,25,1.13,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
30,29/6,10,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
31,30,12.85,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
32,31/1,1.21,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
33,31/1,3.04,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
34,32/2,4.50,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
35,32/2,1.48,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
36,32/1,5.14,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
37,33/4,1.90,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
38,33/3,2,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
39,33/5,1.14,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
40,33/2,1.15,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
41,33/1,2.77,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
42,34/3,3.56,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
43,34/1,2.50,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
44,34/2,1.85,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
45,35/2,32,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
46,36,5.75,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
47,37/3,2.04,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
48,37/3,2.04,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
49,37/2,27,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
50,38,3.93,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
51,39,4.55,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
52,40,5.70,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
53,41/1,2.15,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
54,41/2,48,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
55,42,5.80,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
56,43/3,1.85,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
57,43/1,1.90,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
58,43/3,3.94,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
59,43/2,1.86,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
60,43/3,1.85,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
61,44,2.40,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
62,45,2.47,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
63,46/4,3.76,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
64,46,6.85,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
65,47/1,1.07,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
66,47/1,1.77,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
67,47/2,2.25,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
68,47/3,3.50,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
69,47/1,1.77,Anukuru-(0309047),RCNO.3795/2008/E1,17-06-2015,DISTCOLLECTORVSP,GOVTLAND,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
70,48,2.40,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
71,49/7,2.51,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
72,49/2,2.12,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
73,49/1,6.58,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
74,49/3,54,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
75,49/4,20,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
76,49/8,79,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
77,49/9,67,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
78,49/6,60,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
79,49/5,48,Anukuru-(0309047),RCNO3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
80,50/1,1.76,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
81,51/1,9,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
82,51/2,71,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
83,51/3,95,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
84,51/4,23,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
85,51/5,94,Anukuru-(0309047),RCNO.3795/2007/E1,20-09-2018,DIST COLLECTOR,-,ANAKAPALLI,MADUGULA,Anukuru,2026-02-24 19:07:20
